entry_time,entry_price,exit_time,exit_price,pnl
2026-01-20 00:10:00-05:00,25383.25,2026-01-20 00:55:00-05:00,25382.75,-65.0
2026-01-20 19:45:00-05:00,25179.75,2026-01-20 21:30:00-05:00,25169.5,-260.0
2026-01-22 02:40:00-05:00,25587.75,2026-01-22 09:25:00-05:00,25730.0,2790.0
2026-01-22 20:05:00-05:00,25670.25,2026-01-23 02:45:00-05:00,25691.75,375.0
2026-01-23 06:10:00-05:00,25626.75,2026-01-23 06:55:00-05:00,25607.0,-450.0
2026-01-25 20:10:00-05:00,25606.75,2026-01-26 04:30:00-05:00,25654.25,895.0
2026-01-26 16:20:00-05:00,25866.75,2026-01-26 18:00:00-05:00,25844.5,-500.0
2026-01-26 18:10:00-05:00,25868.0,2026-01-27 03:10:00-05:00,25990.25,2390.0
2026-01-28 04:50:00-05:00,26280.25,2026-01-28 08:10:00-05:00,26270.5,-250.0
2026-01-28 16:25:00-05:00,26262.5,2026-01-28 18:10:00-05:00,26163.25,-1836.0
2026-01-28 18:25:00-05:00,26209.0,2026-01-28 18:35:00-05:00,26190.25,-430.0
2026-01-30 06:10:00-05:00,25805.5,2026-01-30 09:25:00-05:00,25834.25,520.0
2026-02-01 19:25:00-05:00,25612.5,2026-02-01 20:05:00-05:00,25548.25,-1206.0
2026-02-02 03:00:00-05:00,25373.5,2026-02-02 09:25:00-05:00,25542.0,3315.0
2026-02-02 16:30:00-05:00,25886.75,2026-02-02 16:35:00-05:00,25871.0,-370.0
2026-02-02 18:05:00-05:00,25924.0,2026-02-02 21:10:00-05:00,25924.75,-40.0
2026-02-03 04:05:00-05:00,25991.75,2026-02-03 04:20:00-05:00,25966.5,-560.0
2026-02-04 06:40:00-05:00,25462.75,2026-02-04 07:05:00-05:00,25454.75,-215.0
2026-02-04 16:35:00-05:00,25158.5,2026-02-04 19:00:00-05:00,25048.0,-1359.0
2026-02-05 04:35:00-05:00,25046.25,2026-02-05 04:40:00-05:00,25031.75,-345.0
2026-02-05 20:45:00-05:00,24499.0,2026-02-06 07:35:00-05:00,24780.0,5565.0
